"doi","title","journal","last_updated_epoch","publisher_field","paper_field","attention_score"
"10.1016/j.vph.2015.06.005","Asymmetric dimethyl arginine induces pulmonary vascular dysfunction via activation of signal transducer and activator of transcription 3 and stabilization of hypoxia-inducible factor 1-alpha","Vascular Pharmacology","1434896672","Pharmacology And Pharmaceutical Sciences","Biochemistry, Genetics and Molecular Biology",0.5
"10.1016/j.femsim.2004.05.012","Impact of drug resistance on fitness of Mycobacterium tuberculosis strains of the W-Beijing genotype","FEMS Immunology & Medical Microbiology","1350063871","Cardiovascular Medicine And Haematology","Health Sciences",0.5
"10.1039/c1cc11391g","Direct functionalisation of group 10 N-heterocyclic carbene complexes for diversity enhancement","Chemical Communications","1520294400","Chemical Sciences","Materials Science",6
"10.1007/s11232-007-0005-4","Nonlinear electrodynamic lensing of electromagnetic waves in a magnetic dipole field","Theoretical & Mathematical Physics","1497902400","Mathematical Sciences","Mathematics",0.25
"10.1007/s10701-015-9976-4","A Local Interpretation of Quantum Mechanics","Foundations of Physics","1430204734",NA,"Physical Sciences",0.75
"10.1111/eva.12108","Evolutionary and plastic responses of freshwater invertebrates to climate change: realized patterns and future potential","Evolutionary Applications","1440879342","Evolutionary Biology","Biochemistry, Genetics and Molecular Biology",1.5
"10.1007/s10439-018-02190-0","Deep Learning for Musculoskeletal Force Prediction","Annals of Biomedical Engineering","1546699227","Biochemistry, general","Physical Sciences",3.1
"10.1371/journal.pone.0053581","Allele-Specific Behavior of Molecular Networks: Understanding Small-Molecule Drug Response in Yeast","PLoS ONE","1358605033","Multidisciplinary","Biochemistry, Genetics and Molecular Biology",1
"10.3389/fphar.2018.00394","Amifostine Analog, DRDE-30, Attenuates Bleomycin-Induced Pulmonary Fibrosis in Mice","Frontiers in Pharmacology","1525127366","Pharmacology And Pharmaceutical Sciences",NA,0.25
"10.1046/j.1442-200x.2000.01172.x","Eating disorders in adolescent girls*","Pediatrics International","1167609600",NA,"Medicine",3
"10.1523/jneurosci.0344-13.2013","Shaker-Related Potassium Channels in the Central Medial Nucleus of the Thalamus Are Important Molecular Targets for Arousal Suppression by Volatile General Anesthetics","Journal of Neuroscience","1528506175","Medical And Health Sciences","Life Sciences",4
"10.1111/jbi.2015.42.issue-3",NA,"Journal of Biogeography","1427846328","Earth Sciences","Physical Sciences",2.6
"10.1155/2018/5989307","Ghanaians Might Be at Risk of Excess Dietary Intake of Potassium Based on Food Supply Data","Journal of Nutrition & Metabolism","1553660050",NA,NA,1.5
"10.1589/jpts.30.1310","Relationship between outcome in acute stroke patients and multiple stroke related scores obtained after onset of stroke","Journal of Physical Therapy Science","1540456274","Medical And Health Sciences","Health Professions",0.5
"10.1016/j.jus.2012.02.002","Stenosing tenosynovitis","Journal of Ultrasound","1468736903",NA,NA,9.85
"10.5604/20831862.1044458","Maximum number of repetitions, total weight lifted and neuromuscular fatigue in individuals with different training backgrounds.","Biology of Sport","1398165893","Human Movement And Sports Science","Medicine",0.5
"10.2183/pjab.85.500","Mechanism of cadmium induced crystal defects in developing rat tooth enamel","Proceedings of the Japan Academy, Series B: Physical and Biological Sciences","1433326560","Multidisciplinary","Medicine",20.08
"10.18235/0000470","Long-term Impacts of Conditional Cash Transfers in Latin America: Review of the Evidence - See more at: https://publications.iadb.org/handle/11319/7891#sthash.SLyeF0o9.dpuf",NA,"1527263986",NA,NA,4.5
"10.1006/abio.1996.0432","Real-Time DNA Sequencing Using Detection of Pyrophosphate Release","Analytical Biochemistry","1532995200","Analytical Chemistry","Biochemistry, Genetics and Molecular Biology",27.716
"10.1186/s40101-018-0163-0","Black tea aroma inhibited increase of salivary chromogranin-A after arithmetic tasks","Journal of Physiological Anthropology","1536976807","Anthropology","Biochemistry, Genetics and Molecular Biology",21.6
"10.1007/978-3-319-90086-5_8","Global Climate Change and Inland Open Water Fisheries in India: Impact and Adaptations",NA,"1553846283","Agriculture",NA,2.5
"10.1161/jaha.116.003923","Sex Differences in Financial Barriers and the Relationship to Recovery After Acute Myocardial Infarction","Journal of the American Heart Association Cardiovascular and Cerebrovascular Disease","1477918694",NA,NA,650.4
"10.1016/s0140-6736(14)60816-3","UK Academy of Medical Sciences announces 2014 Fellows","The Lancet","1400285113","Medical And Health Sciences","Medicine",5.2
"10.1007/s10336-018-1610-8","Annual GPS tracking reveals unexpected wintering area in a long-distance migratory songbird","Journal of Ornithology","1544627136","Environmental Science And Management","Agricultural and Biological Sciences",14.85
"10.1037/a0035207","Conduits from community violence exposure to peer aggression and victimization: Contributions of parental monitoring, impulsivity, and deviancy.","Journal of Counseling Psychology","1424799930","Psychology","Health Sciences",2.1
"10.1016/s0140-6736(12)61386-5","August 25–31, 2012","The Lancet","1345873914","Medical And Health Sciences","Medicine",4.25
"10.1063/1.1756689","Effects of surface forces and phonon dissipation in a three-terminal nanorelay","Journal of Applied Physics","1367884800","Mathematical Sciences","Physical Sciences",3
"10.1136/tc.2010.036012","Secondhand tobacco smoke exposure in selected public places (PM2.5 and air nicotine) and non-smoking employees (hair nicotine) in Ghana","Tobacco Control","1300332683","Multidisciplinary","Medicine",0.25
"10.1016/j.cardfail.2014.07.011","Caregivers' Perceived Roles in Caring for Patients With Heart Failure: What Do Clinicians Need to Know?","Journal of Cardiac Failure","1536710400","Clinical Sciences","Medicine",3
"10.1103/physrevc.92.024917","Freezeout hypersurface at energies available at the CERN Large Hadron Collider from particle spectra: Flavor and centrality dependence","Physical Review C: Nuclear Physics","1415326731","Atomic, Molecular, Nuclear, Particle And Plasma Physics","Physical Sciences",0.25
"10.1186/s13058-016-0764-7","The impact of in situ breast cancer and family history on risk of subsequent breast cancer events and mortality - a population-based study from Sweden","Breast Cancer Research","1478085979","Biomedicine","Medicine",1.25
"10.1371/journal.pone.0072481","The Role of Explicit and Implicit Self-Esteem in Peer Modeling of Palatable Food Intake: A Study on Social Media Interaction among Youngsters","PLoS ONE","1404760897","Multidisciplinary","Biochemistry, Genetics and Molecular Biology",6.5
"10.4236/ojo.2018.83011","Functional Outcomes after Triceps Splitting versus Triceps Sparing Approach for Extra-Articular Distal Humerus Fractures","Open Journal of Orthopedics","1521012341",NA,NA,0.25
"10.1177/0013124517747681","A Meta-Analysis on the Relationship Between Character Education and Student Achievement and Behavioral Outcomes","Education & Urban Society","1515193504","Specialist Studies In Education","Social Sciences",0.25
"10.1186/s12971-016-0104-9","The opinions of adults about the ban on cigarette sales to minors","Tobacco Induced Diseases","1481458536","Clinical Sciences",NA,1
"10.1055/s-0028-1117096","Die Wirkung des Saunabades auf Herz und Kreislauf","Deutsche Medizinische Wochenschrift","1510305181",NA,"Medicine",0.25
"10.1111/jfb.13369","Evidence of Atlantic salmon
                    Salmo salar
                    fry movement between fresh water and a brackish environment","Journal of Fish Biology","1500063567","Ecology","Agricultural and Biological Sciences",1.25
"10.1002/ente.201600005","Core-Scale Experimental and Numerical Investigation on Fluoroboric Acidizing of a Sandstone Reservoir","Energy Technology","1458632509",NA,NA,1
"10.1377/hlthaff.2015.1031","Adding A Measure Of Patient Self-Management Capability To Risk Assessment Can Improve Prediction Of High Costs","Health Affairs","1461272342","Public Health And Health Services","Medicine",25.95
"10.1080/07256868.2015.1119674","Cultural Self-Identification and Orientations to Cross-Cultural Mixing on an Australian University Campus","Journal of Intercultural Studies","1458996228","Studies In Human Society","Social Sciences",2.2
"10.1016/j.jchromb.2003.11.040","Determination of paeoniflorin in rat hippocampus by high-performance liquid chromatography after intravenous administration of Paeoniae Radix extract","Journal of Chromatography B: Analytical Technologies in the Biomedical & Life Sciences","1423286077","Analytical Chemistry","Biochemistry, Genetics and Molecular Biology",0.25
"10.1109/jmems.2003.823220","Development of a Deep Silicon Phase Fresnel Lens Using Gray-Scale Lithography and Deep Reactive Ion Etching","Journal of Microelectromechanical Systems","1482796800","Electrical And Electronic Engineering","Physical Sciences",6
"10.1111/j.1365-2133.1990.tb01828.x","Growth-inhibitory effects of 1,25-dihydroxyvitamin D3 on normal and psoriatic keratinocytes","British Journal of Dermatology","819331200","Clinical Sciences","Medicine",3
"10.1016/j.foodchem.2018.09.031","In vitro investigation of bioactivities of solid-state fermented lupin, quinoa and wheat using Lactobacillus spp.","Food Chemistry","1542214801","Multidisciplinary","Physical Sciences",0.25
"10.1046/j.1440-6047.2001.00231.x","Cardiovascular risk in the Asia-Pacific region from a nutrition and metabolic point of view: abdominal obesity","Asia Pacific Journal of Clinical Nutrition","1167609600","Nutrition And Dietetics","Medicine",3
"10.1038/s41698-017-0011-4","Inhibiting breast cancer by targeting the thromboxane A2 pathway","npj Precision Oncology","1527959940",NA,NA,9.6
"10.1016/s0014-5793(97)01265-9","Cloning of two novel human importin-α subunits and analysis of the expression pattern of the importin-α protein family","Febs Letters","1255930613","Biochemistry And Cell Biology","Biochemistry, Genetics and Molecular Biology",3
"10.1105/tpc.114.131854","Advice to the Lovelorn Polyploid Plant","Plant Cell","1412073972","Biochemistry And Cell Biology","Biochemistry, Genetics and Molecular Biology",1
"10.1016/j.jpain.2017.07.007","Comparison of 2 Lumbar Manual Therapies on Temporal Summation of Pain in Healthy Volunteers","Journal of Pain","1528797797","Medical And Health Sciences","Health Sciences",14.55
"10.1167/iovs.04-0649","Transforming Growth Factor-β2 Modulated Extracellular Matrix Component Expression in Cultured Human Optic Nerve Head Astrocytes","Investigative Ophthalmology & Visual Science","1290470400","Medical And Health Sciences","Medicine",3
"10.1002/14651858.cd008045.pub2","Percutaneous techniques versus surgical techniques for tracheostomy","Cochrane database of systematic reviews","1536944414","Medical And Health Sciences","Medicine",9.2
"10.1007/978-1-4684-5775-9_5","Reliable programming in standard languages",NA,"1521814432","Computer Science",NA,1
"10.1145/1693042.1693045","e-government based on cloud computing and service-oriented architecture",NA,"1346683882",NA,NA,3
"10.3109/08820139609059288","Binding Reactivity of Monoclonal Anti-Carcinoembryonic Antigen (CEA) Antibodies with Cell Membrane-Bound CEA and with Free CEA in Solution","Immunological Investigations","1499126400","Immunology","Life Sciences",3
"10.1088/1361-6552/aa6d9e","Electromagnetic Faraday generator and its application","Physics Education","1500686989","Curriculum And Pedagogy","Social Sciences",2.25
"10.1524/9783050061627","Unsere postmoderne Moderne",NA,"1535538695",NA,NA,1
"10.2305/iucn.uk.2014-1.rlts.t136335a16114861.en","Avahi cleesei: Andriaholinirina, N., Baden, A., Blanco, M., Chikhi, L., Cooke, A., Davies, N., Dolch, R., Donati, G., Ganzhorn, J., Golden, C., Groeneveld, L.F., Hapke, A., Irwin, M., Johnson, S., Kappeler, P., King, T., Lewis, R., Louis, E.E., Markolf, M., Mass, V., Mittermeier, R.A., Nichols, R., Patel, E., Rabarivola, C.J., Raharivololona, B., Rajaobelina, S., Rakotoarisoa, G., Rakotomanga, B., Rakotonanahary, J., Rakotondrainibe, H., Rakotondratsimba, G., Rakotondratsimba, M., Rakotonirina, L., Ralainasolo, F.B., Ralison, J., Ramahaleo, T., Ranaivoarisoa, J.F., Randrianahaleo, S.I., Randrianambinina, B., Randrianarimanana, L., Randrianasolo, H., Randriatahina, G., Rasamimananana, H., Rasolofoharivelo, T., Rasoloharijaona, S., Ratelolahy, F., Ratsimbazafy, J., Ratsimbazafy, N., Razafindraibe, H., Razafindramanana, J., Rowe, N., Salmona, J., Seiler, M., Volampeno, S., Wright, P., Youssouf, J., Zaonarivelo, J. & Zaramody, A.",NA,"1515200754",NA,NA,3
"10.1130/g36927.1","A contourite drift system on the Baffin Bay–West Greenland margin linking Pliocene Arctic warming to poleward ocean circulation","Geology","1442937697","Earth Sciences","Earth and Planetary Sciences",17
"10.18632/oncotarget.19162","Prognostic role of long noncoding RNA ZFAS1 in cancer patients: a systematic review and meta-analysis","Oncotarget","1513674424",NA,NA,0.75
"10.1056/nejmcibr1311045","Asthma and Coagulation","New England Journal of Medicine","1393260787","Medical And Health Sciences","Medicine",19.15
"10.1097/01.psy.0000171159.86446.9e","Psychological Distress as a Predictor of CHD Events in Men: The Effect of Persistence and Components of Risk","Psychosomatic Medicine","1173197177","Medical And Health Sciences","Health Sciences",3
"10.1016/j.ajog.2008.12.042","Validation of serum biomarkers for detection of early-stage ovarian cancer","American Journal of Obstetrics & Gynecology","1504051200","Paediatrics And Reproductive Medicine","Medicine",3
"10.1080/02791072.2000.10400449","Blood Alcohol Content and Death from Fatal Injury: A Study in the Metropolitan Area of Sāo Paulo, Brazil","Journal of Psychoactive Drugs","1136073600","Public Health And Health Services","Health Sciences",3
"10.1016/j.jns.2015.10.016","We-Measure: Toward a low-cost portable posturography for patients with multiple sclerosis using the commercial Wii balance board","Journal of the Neurological Sciences","1445595188","Clinical Sciences","Health Sciences",0.25
"10.1016/j.porgcoat.2009.09.004","Effect of organic chelates on the performance of hybrid sol–gel coated AA 2024-T3 aluminium alloys","Progress in Organic Coatings","1524700800","Materials Engineering","Materials Science",3
"10.1016/j.chb.2017.12.001","The role of privacy fatigue in online privacy behavior","Computers in Human Behavior","1549485265","Information Systems","Physical Sciences",36.392
"10.1039/c2gc16301b","A highly active magnetically recoverable nano ferrite-glutathione-copper (nano-FGT-Cu) catalyst for Huisgen 1,3-dipolar cycloadditions","Green Chemistry","1348462857","Chemical Sciences","Environmental Science",8
"10.1016/s0092-8674(00)81270-2","PDGF-A Signaling Is a Critical Event in Lung Alveolar Myofibroblast Development and Alveogenesis","Cell","1524528000","Biological Sciences","Biochemistry, Genetics and Molecular Biology",9
"10.1371/journal.pone.0155460","Mass Spectrometric-Based Selected Reaction Monitoring of Protein Phosphorylation during Symbiotic Signaling in the Model Legume, Medicago truncatula","PLoS ONE","1500029883","Multidisciplinary","Biochemistry, Genetics and Molecular Biology",2.25
"10.1177/1533034617709396","Three-Phase Adaptive Radiation Therapy for Patients With Nasopharyngeal Carcinoma Undergoing Intensity-Modulated Radiation Therapy: Dosimetric Analysis","Technology in Cancer Research and Treatment","1524067204","Oncology And Carcinogenesis","Biochemistry, Genetics and Molecular Biology",1.25
"10.1007/978-3-540-29925-7_6653","Dictionary of Minor Planet Names",NA,"1458121159",NA,NA,3
"10.1016/0092-8674(84)90258-7","Tissue-specific expression of the rat pancreatic elastase I gene in transgenic mice","Cell","1536624000","Biological Sciences","Biochemistry, Genetics and Molecular Biology",12
"10.1038/nrendo.2017.52","In the news","Nature Reviews Endocrinology","1493578923","Obesity","Biochemistry, Genetics and Molecular Biology",2
"10.3390/genes9030149","Novel Sequence Features of DNA Repair Genes/Proteins from Deinococcus Species Implicated in Protection from Oxidatively Generated Damage","Genes","1521306669",NA,NA,1.85
"10.1200/jco.1993.11.7.1276","An intergroup phase III randomized study of doxorubicin and dacarbazine with or without ifosfamide and mesna in advanced soft tissue and bone sarcomas.","Journal of Clinical Oncology","1427314414","Oncology And Carcinogenesis","Biochemistry, Genetics and Molecular Biology",3.5
"10.1787/5k49lcn89rkf-en","Work Incentives and Universal Credit",NA,"1364419505",NA,NA,6.45
"10.1109/ijcnn.2012.6252626","Comparing textural features for music genre classification","Proceedings of International Joint Conference on Neural Networks","1493564179",NA,NA,1
"10.1088/1674-4527/14/12/007","Data processing and preliminary results of the Chang'e-3 VIS/NIR Imaging Spectrometer in-situ analysis","Research in Astronomy and Astrophysics","1417826588","Astronomical And Space Sciences","Earth and Planetary Sciences",0.25
"10.1039/c3sm50279a","Localization of deformation in thin shells under indentation","Soft Matter","1373307664","Chemical Sciences","Physical Sciences",0.75
"10.1038/s41467-018-06945-0","In situ strain tuning of the metal-insulator-transition of Ca2RuO4 in angle-resolved photoemission experiments","Nature Communications","1541589797","Multidisciplinary",NA,0.75
"10.1080/21565503.2017.1310659","A possessive investment in white heteropatriarchy? The 2016 election and the politics of race, gender, and sexuality","Politics, Groups and Identities","1544026511",NA,NA,21.25
"10.1088/0022-3727/48/8/085101","Monolithic on-chip integration of semiconductor waveguides, beamsplitters and single-photon sources","Journal of Physics: D Applied Physics","1395973375","Physical Sciences","Materials Science",0.25
"10.1016/j.chom.2012.07.008","Reacquisition of Nef-Mediated Tetherin Antagonism in a Single In Vivo Passage of HIV-1 through Its Original Chimpanzee Host","Cell Host & Microbe (Science Direct)","1355095082","Microbiology","Biochemistry, Genetics and Molecular Biology",0.75
"10.1016/j.marenvres.2018.02.023","Can benthic foraminifera serve as proxies for changes in benthic macrofaunal community structure? Implications for the definition of reference conditions","Marine Environmental Research","1520509866","Chemical Sciences","Life Sciences",1.5
"10.1021/acs.analchem.5b04376","Dynamic Nuclear Polarization as an Enabling Technology for Solid State Nuclear Magnetic Resonance Spectroscopy","Analytical Chemistry","1454338824","Analytical Chemistry","Physical Sciences",1.5
